ObjectId,Country,Unit,Date,Amount
248,World,Percent,1968-12-01,0.29
249,World,Parts Per Million,1969-01-01,324.0
250,World,Percent,1969-01-01,0.44
251,World,Parts Per Million,1969-02-01,324.42
252,World,Percent,1969-02-01,0.39
253,World,Parts Per Million,1969-03-01,325.63
254,World,Percent,1969-03-01,0.54
255,World,Parts Per Million,1969-04-01,326.66
256,World,Percent,1969-04-01,0.5
257,World,Parts Per Million,1969-05-01,327.38
258,World,Percent,1969-05-01,0.56
259,World,Parts Per Million,1969-06-01,326.71
260,World,Percent,1969-06-01,0.41
261,World,Parts Per Million,1969-07-01,325.88
262,World,Percent,1969-07-01,0.54
263,World,Parts Per Million,1969-08-01,323.66
264,World,Percent,1969-08-01,0.48
265,World,Parts Per Million,1969-09-01,322.38
266,World,Percent,1969-09-01,0.64
267,World,Parts Per Million,1969-10-01,321.78
268,World,Percent,1969-10-01,0.48
269,World,Parts Per Million,1969-11-01,322.86
270,World,Percent,1969-11-01,0.48
271,World,Parts Per Million,1969-12-01,324.12
272,World,Percent,1969-12-01,0.38
273,World,Parts Per Million,1970-01-01,325.06
274,World,Percent,1970-01-01,0.33
275,World,Parts Per Million,1970-02-01,325.98
276,World,Percent,1970-02-01,0.48
277,World,Parts Per Million,1970-03-01,326.93
278,World,Percent,1970-03-01,0.4
279,World,Parts Per Million,1970-04-01,328.13
280,World,Percent,1970-04-01,0.45
281,World,Parts Per Million,1970-05-01,328.08
282,World,Percent,1970-05-01,0.21
283,World,Parts Per Million,1970-06-01,327.67
284,World,Percent,1970-06-01,0.29
285,World,Parts Per Million,1970-07-01,326.34
286,World,Percent,1970-07-01,0.14
287,World,Parts Per Million,1970-08-01,324.69
288,World,Percent,1970-08-01,0.32
289,World,Parts Per Million,1970-09-01,323.1
290,World,Percent,1970-09-01,0.22
291,World,Parts Per Million,1970-10-01,323.06
292,World,Percent,1970-10-01,0.4
293,World,Parts Per Million,1970-11-01,324.01
294,World,Percent,1970-11-01,0.36
295,World,Parts Per Million,1970-12-01,325.13
296,World,Percent,1970-12-01,0.31
297,World,Parts Per Million,1971-01-01,326.17
298,World,Percent,1971-01-01,0.34
299,World,Parts Per Million,1971-02-01,326.68
300,World,Percent,1971-02-01,0.21
301,World,Parts Per Million,1971-03-01,327.17
302,World,Percent,1971-03-01,0.07
303,World,Parts Per Million,1971-04-01,327.79
304,World,Percent,1971-04-01,-0.1
305,World,Parts Per Million,1971-05-01,328.93
306,World,Percent,1971-05-01,0.26
307,World,Parts Per Million,1971-06-01,328.57
308,World,Percent,1971-06-01,0.27
309,World,Parts Per Million,1971-07-01,327.36
310,World,Percent,1971-07-01,0.31
311,World,Parts Per Million,1971-08-01,325.43
312,World,Percent,1971-08-01,0.23
313,World,Parts Per Million,1971-09-01,323.36
314,World,Percent,1971-09-01,0.08
315,World,Parts Per Million,1971-10-01,323.56
316,World,Percent,1971-10-01,0.15
317,World,Parts Per Million,1971-11-01,324.8
318,World,Percent,1971-11-01,0.24
319,World,Parts Per Million,1971-12-01,326.01
320,World,Percent,1971-12-01,0.27
321,World,Parts Per Million,1972-01-01,326.77
322,World,Percent,1972-01-01,0.18
323,World,Parts Per Million,1972-02-01,327.63
324,World,Percent,1972-02-01,0.29
325,World,Parts Per Million,1972-03-01,327.75
326,World,Percent,1972-03-01,0.18
327,World,Parts Per Million,1972-04-01,329.72
328,World,Percent,1972-04-01,0.59
329,World,Parts Per Million,1972-05-01,330.07
330,World,Percent,1972-05-01,0.35
331,World,Parts Per Million,1972-06-01,329.09
332,World,Percent,1972-06-01,0.16
333,World,Parts Per Million,1972-07-01,328.04
334,World,Percent,1972-07-01,0.21
335,World,Parts Per Million,1972-08-01,326.32
336,World,Percent,1972-08-01,0.27
337,World,Parts Per Million,1972-09-01,324.84
338,World,Percent,1972-09-01,0.46
339,World,Parts Per Million,1972-10-01,325.2
340,World,Percent,1972-10-01,0.51
341,World,Parts Per Million,1972-11-01,326.5
342,World,Percent,1972-11-01,0.52
343,World,Parts Per Million,1972-12-01,327.55
344,World,Percent,1972-12-01,0.47
345,World,Parts Per Million,1973-01-01,328.55
346,World,Percent,1973-01-01,0.54
347,World,Parts Per Million,1973-02-01,329.56
348,World,Percent,1973-02-01,0.59
349,World,Parts Per Million,1973-03-01,330.3
350,World,Percent,1973-03-01,0.78
351,World,Parts Per Million,1973-04-01,331.5
352,World,Percent,1973-04-01,0.54
353,World,Parts Per Million,1973-05-01,332.48
354,World,Percent,1973-05-01,0.73
355,World,Parts Per Million,1973-06-01,332.07
356,World,Percent,1973-06-01,0.91
357,World,Parts Per Million,1973-07-01,330.87
358,World,Percent,1973-07-01,0.86
359,World,Parts Per Million,1973-08-01,329.31
360,World,Percent,1973-08-01,0.92
361,World,Parts Per Million,1973-09-01,327.51
362,World,Percent,1973-09-01,0.82
363,World,Parts Per Million,1973-10-01,327.18
364,World,Percent,1973-10-01,0.61
365,World,Parts Per Million,1973-11-01,328.16
366,World,Percent,1973-11-01,0.51
367,World,Parts Per Million,1973-12-01,328.64
368,World,Percent,1973-12-01,0.33
369,World,Parts Per Million,1974-01-01,329.35
370,World,Percent,1974-01-01,0.24
371,World,Parts Per Million,1974-02-01,330.71
372,World,Percent,1974-02-01,0.35
373,World,Parts Per Million,1974-03-01,331.48
374,World,Percent,1974-03-01,0.36
375,World,Parts Per Million,1974-04-01,332.65
376,World,Percent,1974-04-01,0.35
377,World,Parts Per Million,1974-05-01,333.18
378,World,Percent,1974-05-01,0.21
379,World,Parts Per Million,1974-06-01,332.2
380,World,Percent,1974-06-01,0.04
381,World,Parts Per Million,1974-07-01,331.07
382,World,Percent,1974-07-01,0.06
383,World,Parts Per Million,1974-08-01,329.15
384,World,Percent,1974-08-01,-0.05
385,World,Parts Per Million,1974-09-01,327.33
386,World,Percent,1974-09-01,-0.05
387,World,Parts Per Million,1974-10-01,327.28
388,World,Percent,1974-10-01,0.03
389,World,Parts Per Million,1974-11-01,328.31
390,World,Percent,1974-11-01,0.05
391,World,Parts Per Million,1974-12-01,329.58
392,World,Percent,1974-12-01,0.29
393,World,Parts Per Million,1975-01-01,330.73
394,World,Percent,1975-01-01,0.42
