ObjectId,Country,Unit,Amount,year
339,World,Parts Per Million,325.2,1972
340,World,Percent,0.51,1972
341,World,Parts Per Million,326.5,1972
342,World,Percent,0.52,1972
343,World,Parts Per Million,327.55,1972
344,World,Percent,0.47,1972
345,World,Parts Per Million,328.55,1973
346,World,Percent,0.54,1973
347,World,Parts Per Million,329.56,1973
348,World,Percent,0.59,1973
349,World,Parts Per Million,330.3,1973
350,World,Percent,0.78,1973
351,World,Parts Per Million,331.5,1973
352,World,Percent,0.54,1973
353,World,Parts Per Million,332.48,1973
354,World,Percent,0.73,1973
355,World,Parts Per Million,332.07,1973
356,World,Percent,0.91,1973
357,World,Parts Per Million,330.87,1973
358,World,Percent,0.86,1973
359,World,Parts Per Million,329.31,1973
360,World,Percent,0.92,1973
361,World,Parts Per Million,327.51,1973
362,World,Percent,0.82,1973
363,World,Parts Per Million,327.18,1973
364,World,Percent,0.61,1973
365,World,Parts Per Million,328.16,1973
366,World,Percent,0.51,1973
367,World,Parts Per Million,328.64,1973
368,World,Percent,0.33,1973
369,World,Parts Per Million,329.35,1974
370,World,Percent,0.24,1974
371,World,Parts Per Million,330.71,1974
372,World,Percent,0.35,1974
373,World,Parts Per Million,331.48,1974
374,World,Percent,0.36,1974
375,World,Parts Per Million,332.65,1974
376,World,Percent,0.35,1974
377,World,Parts Per Million,333.18,1974
378,World,Percent,0.21,1974
379,World,Parts Per Million,332.2,1974
380,World,Percent,0.04,1974
381,World,Parts Per Million,331.07,1974
382,World,Percent,0.06,1974
383,World,Parts Per Million,329.15,1974
384,World,Percent,-0.05,1974
385,World,Parts Per Million,327.33,1974
386,World,Percent,-0.05,1974
387,World,Parts Per Million,327.28,1974
388,World,Percent,0.03,1974
389,World,Parts Per Million,328.31,1974
390,World,Percent,0.05,1974
391,World,Parts Per Million,329.58,1974
392,World,Percent,0.29,1974
393,World,Parts Per Million,330.73,1975
394,World,Percent,0.42,1975
395,World,Parts Per Million,331.46,1975
396,World,Percent,0.23,1975
397,World,Parts Per Million,331.94,1975
398,World,Percent,0.14,1975
399,World,Parts Per Million,333.11,1975
400,World,Percent,0.14,1975
401,World,Parts Per Million,333.95,1975
402,World,Percent,0.23,1975
403,World,Parts Per Million,333.42,1975
404,World,Percent,0.37,1975
405,World,Parts Per Million,331.97,1975
406,World,Percent,0.27,1975
407,World,Parts Per Million,329.95,1975
408,World,Percent,0.24,1975
409,World,Parts Per Million,328.5,1975
410,World,Percent,0.36,1975
411,World,Parts Per Million,328.36,1975
412,World,Percent,0.33,1975
413,World,Parts Per Million,329.38,1975
414,World,Percent,0.33,1975
415,World,Parts Per Million,330.79,1975
416,World,Percent,0.37,1975
417,World,Parts Per Million,331.56,1976
418,World,Percent,0.25,1976
419,World,Parts Per Million,332.74,1976
420,World,Percent,0.39,1976
421,World,Parts Per Million,333.36,1976
422,World,Percent,0.43,1976
423,World,Parts Per Million,334.74,1976
424,World,Percent,0.49,1976
425,World,Parts Per Million,334.72,1976
426,World,Percent,0.23,1976
427,World,Parts Per Million,333.98,1976
428,World,Percent,0.17,1976
429,World,Parts Per Million,333.08,1976
430,World,Percent,0.33,1976
431,World,Parts Per Million,330.68,1976
432,World,Percent,0.22,1976
433,World,Parts Per Million,328.96,1976
434,World,Percent,0.14,1976
435,World,Parts Per Million,328.72,1976
436,World,Percent,0.11,1976
437,World,Parts Per Million,330.16,1976
438,World,Percent,0.24,1976
439,World,Parts Per Million,331.62,1976
440,World,Percent,0.25,1976
441,World,Parts Per Million,332.68,1977
442,World,Percent,0.34,1977
443,World,Parts Per Million,333.17,1977
444,World,Percent,0.13,1977
445,World,Parts Per Million,334.96,1977
446,World,Percent,0.48,1977
