ObjectId,Country,Unit,Measure,Amount,Year
264,World,Millimeters,Nino,-9.93,1993
265,World,Millimeters,North Atlantic,-73.03,1993
266,World,Millimeters,North Pacific,-44.81,1993
267,World,Millimeters,Pacific Ocean,-15.08,1993
268,World,Millimeters,Persian Gulf,-80.27,1993
269,World,Millimeters,Sea Japan,-38.05,1993
270,World,Millimeters,Sea Okhotsk,-12.99,1993
271,World,Millimeters,Southern Ocean,-3.33,1993
272,World,Millimeters,Tropics,-22.64,1993
273,World,Millimeters,World,-22.65,1993
274,World,Millimeters,Adriatic Sea,-168.81,1993
275,World,Millimeters,Yellow Sea,-78.71,1993
276,World,Millimeters,Andaman Sea,-74.24,1993
277,World,Millimeters,Arabian Sea,44.64,1993
278,World,Millimeters,Baltic Sea,-249.25,1993
279,World,Millimeters,Bay Bengal,-40.63,1993
280,World,Millimeters,Mediterranean,-94.28,1993
281,World,Millimeters,North Sea,-150.09,1993
282,World,Millimeters,Persian Gulf,-98.57,1993
283,World,Millimeters,Sea Japan,-21.55,1993
284,World,Millimeters,Sea Okhotsk,-39.29,1993
285,World,Millimeters,South China,-31.8,1993
286,World,Millimeters,Atlantic Ocean,-27.31,1993
287,World,Millimeters,Bering Sea,-31.55,1993
288,World,Millimeters,Caribbean Sea,-41.28,1993
289,World,Millimeters,Gulf Mexico,-41.25,1993
290,World,Millimeters,Indian Ocean,-30.53,1993
291,World,Millimeters,Indonesian,-58.79,1993
292,World,Millimeters,Nino,-12.43,1993
293,World,Millimeters,North Atlantic,-61.63,1993
294,World,Millimeters,North Pacific,-47.31,1993
295,World,Millimeters,Pacific Ocean,-20.88,1993
296,World,Millimeters,Southern Ocean,-11.93,1993
297,World,Millimeters,Tropics,-23.84,1993
298,World,Millimeters,World,-25.95,1993
299,World,Millimeters,Yellow Sea,-72.61,1993
300,World,Millimeters,Adriatic Sea,-104.51,1993
301,World,Millimeters,Baltic Sea,-213.05,1993
302,World,Millimeters,Andaman Sea,-23.24,1993
303,World,Millimeters,Bay Bengal,-7.23,1993
304,World,Millimeters,Indian Ocean,-17.53,1993
305,World,Millimeters,Mediterranean,-79.08,1993
306,World,Millimeters,Nino,-7.13,1993
