country_code,latitude,longitude,Country,ISO3,ISO2,Unit,Year,Temp(C)
AG,17.060816,-61.796428,Antigua and Barbuda,ATG,AG,Degree Celsius,F2003,0.783
AG,17.060816,-61.796428,Antigua and Barbuda,ATG,AG,Degree Celsius,F2004,0.501
AG,17.060816,-61.796428,Antigua and Barbuda,ATG,AG,Degree Celsius,F2005,0.843
AG,17.060816,-61.796428,Antigua and Barbuda,ATG,AG,Degree Celsius,F2006,0.659
AG,17.060816,-61.796428,Antigua and Barbuda,ATG,AG,Degree Celsius,F2007,0.934
AG,17.060816,-61.796428,Antigua and Barbuda,ATG,AG,Degree Celsius,F2008,0.394
AG,17.060816,-61.796428,Antigua and Barbuda,ATG,AG,Degree Celsius,F2009,0.498
AG,17.060816,-61.796428,Antigua and Barbuda,ATG,AG,Degree Celsius,F2010,1.153
AG,17.060816,-61.796428,Antigua and Barbuda,ATG,AG,Degree Celsius,F2011,0.586
AG,17.060816,-61.796428,Antigua and Barbuda,ATG,AG,Degree Celsius,F2012,0.696
AG,17.060816,-61.796428,Antigua and Barbuda,ATG,AG,Degree Celsius,F2013,0.783
AG,17.060816,-61.796428,Antigua and Barbuda,ATG,AG,Degree Celsius,F2014,0.744
AG,17.060816,-61.796428,Antigua and Barbuda,ATG,AG,Degree Celsius,F2015,1.035
AG,17.060816,-61.796428,Antigua and Barbuda,ATG,AG,Degree Celsius,F2016,1.097
AG,17.060816,-61.796428,Antigua and Barbuda,ATG,AG,Degree Celsius,F2017,0.958
AG,17.060816,-61.796428,Antigua and Barbuda,ATG,AG,Degree Celsius,F2018,0.627
AG,17.060816,-61.796428,Antigua and Barbuda,ATG,AG,Degree Celsius,F2019,0.797
AG,17.060816,-61.796428,Antigua and Barbuda,ATG,AG,Degree Celsius,F2020,1.131
AG,17.060816,-61.796428,Antigua and Barbuda,ATG,AG,Degree Celsius,F2021,0.862
AG,17.060816,-61.796428,Antigua and Barbuda,ATG,AG,Degree Celsius,F2022,0.77
AI,18.220554,-63.068615,Anguilla,AIA,AI,Degree Celsius,F1961,0.086
AI,18.220554,-63.068615,Anguilla,AIA,AI,Degree Celsius,F1962,-0.024
AI,18.220554,-63.068615,Anguilla,AIA,AI,Degree Celsius,F1963,0.234
AI,18.220554,-63.068615,Anguilla,AIA,AI,Degree Celsius,F1964,0.189
AI,18.220554,-63.068615,Anguilla,AIA,AI,Degree Celsius,F1965,-0.365
AI,18.220554,-63.068615,Anguilla,AIA,AI,Degree Celsius,F1966,-0.001
AI,18.220554,-63.068615,Anguilla,AIA,AI,Degree Celsius,F1967,-0.257
AI,18.220554,-63.068615,Anguilla,AIA,AI,Degree Celsius,F1968,-0.2
AI,18.220554,-63.068615,Anguilla,AIA,AI,Degree Celsius,F1969,0.317
