country_code,latitude,longitude,Country,ISO3,ISO2,Unit,Year,Temp(C),Carbon stocks in forests,Forest area,Index of carbon stocks in forests,Index of forest extent,Land area,Share of forest area
AG,17.060816,-61.796428,Antigua and Barbuda,ATG,AG,Degree Celsius,F2016,1.097,1.0595,8.38,83.98731669,83.98476649,44,19.04545455
AG,17.060816,-61.796428,Antigua and Barbuda,ATG,AG,Degree Celsius,F2017,0.958,1.0519,8.32,83.38485929,83.38344358,44,18.90909091
AG,17.060816,-61.796428,Antigua and Barbuda,ATG,AG,Degree Celsius,F2018,0.627,1.043,8.25,82.67934998,82.68190018,44,18.75
AG,17.060816,-61.796428,Antigua and Barbuda,ATG,AG,Degree Celsius,F2019,0.797,1.0342,8.18,81.98176774,81.98035678,44,18.59090909
AG,17.060816,-61.796428,Antigua and Barbuda,ATG,AG,Degree Celsius,F2020,1.131,1.0266,8.12,81.37931034,81.37903387,44,18.45454545
AI,18.220554,-63.068615,Anguilla,AIA,AI,Degree Celsius,F1992,0.365,0.6954,5.5,100,100,9,61.11111111
AI,18.220554,-63.068615,Anguilla,AIA,AI,Degree Celsius,F1993,0.535,0.6954,5.5,100,100,9,61.11111111
AI,18.220554,-63.068615,Anguilla,AIA,AI,Degree Celsius,F1994,0.575,0.6954,5.5,100,100,9,61.11111111
AI,18.220554,-63.068615,Anguilla,AIA,AI,Degree Celsius,F1995,0.651,0.6954,5.5,100,100,9,61.11111111
AI,18.220554,-63.068615,Anguilla,AIA,AI,Degree Celsius,F1996,0.35,0.6954,5.5,100,100,9,61.11111111
AI,18.220554,-63.068615,Anguilla,AIA,AI,Degree Celsius,F1997,0.459,0.6954,5.5,100,100,9,61.11111111
AI,18.220554,-63.068615,Anguilla,AIA,AI,Degree Celsius,F1998,1.06,0.6954,5.5,100,100,9,61.11111111
AI,18.220554,-63.068615,Anguilla,AIA,AI,Degree Celsius,F1999,0.532,0.6954,5.5,100,100,9,61.11111111
AI,18.220554,-63.068615,Anguilla,AIA,AI,Degree Celsius,F2000,0.264,0.6954,5.5,100,100,9,61.11111111
AI,18.220554,-63.068615,Anguilla,AIA,AI,Degree Celsius,F2001,0.587,0.6954,5.5,100,100,9,61.11111111
AI,18.220554,-63.068615,Anguilla,AIA,AI,Degree Celsius,F2002,0.706,0.6954,5.5,100,100,9,61.11111111
AI,18.220554,-63.068615,Anguilla,AIA,AI,Degree Celsius,F2003,0.816,0.6954,5.5,100,100,9,61.11111111
AI,18.220554,-63.068615,Anguilla,AIA,AI,Degree Celsius,F2004,0.521,0.6954,5.5,100,100,9,61.11111111
AI,18.220554,-63.068615,Anguilla,AIA,AI,Degree Celsius,F2005,0.828,0.6954,5.5,100,100,9,61.11111111
AI,18.220554,-63.068615,Anguilla,AIA,AI,Degree Celsius,F2006,0.691,0.6954,5.5,100,100,9,61.11111111
AI,18.220554,-63.068615,Anguilla,AIA,AI,Degree Celsius,F2007,0.957,0.6954,5.5,100,100,9,61.11111111
AI,18.220554,-63.068615,Anguilla,AIA,AI,Degree Celsius,F2008,0.411,0.6954,5.5,100,100,9,61.11111111
AI,18.220554,-63.068615,Anguilla,AIA,AI,Degree Celsius,F2009,0.566,0.6954,5.5,100,100,9,61.11111111
AI,18.220554,-63.068615,Anguilla,AIA,AI,Degree Celsius,F2010,1.09,0.6954,5.5,100,100,9,61.11111111
AI,18.220554,-63.068615,Anguilla,AIA,AI,Degree Celsius,F2011,0.489,0.6954,5.5,100,100,9,61.11111111
AI,18.220554,-63.068615,Anguilla,AIA,AI,Degree Celsius,F2012,0.64,0.6954,5.5,100,100,9,61.11111111
AI,18.220554,-63.068615,Anguilla,AIA,AI,Degree Celsius,F2013,0.77,0.6954,5.5,100,100,9,61.11111111
AI,18.220554,-63.068615,Anguilla,AIA,AI,Degree Celsius,F2014,0.814,0.6954,5.5,100,100,9,61.11111111
AI,18.220554,-63.068615,Anguilla,AIA,AI,Degree Celsius,F2015,1.051,0.6954,5.5,100,100,9,61.11111111
AI,18.220554,-63.068615,Anguilla,AIA,AI,Degree Celsius,F2016,1.125,0.6954,5.5,100,100,9,61.11111111
AI,18.220554,-63.068615,Anguilla,AIA,AI,Degree Celsius,F2017,0.96,0.6954,5.5,100,100,9,61.11111111
AI,18.220554,-63.068615,Anguilla,AIA,AI,Degree Celsius,F2018,0.664,0.6954,5.5,100,100,9,61.11111111
AI,18.220554,-63.068615,Anguilla,AIA,AI,Degree Celsius,F2019,0.843,0.6954,5.5,100,100,9,61.11111111
AI,18.220554,-63.068615,Anguilla,AIA,AI,Degree Celsius,F2020,1.224,0.6954,5.5,100,100,9,61.11111111
AL,41.153332,20.168331,Albania,ALB,AL,Degree Celsius,F1992,0.106,,784.9,,100,2740,28.6459854
AL,41.153332,20.168331,Albania,ALB,AL,Degree Celsius,F1993,0.076,,782.95,,99.75156071,2740,28.57481752
AL,41.153332,20.168331,Albania,ALB,AL,Degree Celsius,F1994,1.33,,781,,99.50312142,2740,28.50364964
AL,41.153332,20.168331,Albania,ALB,AL,Degree Celsius,F1995,-0.172,,779.05,,99.25468213,2740,28.43248175
AL,41.153332,20.168331,Albania,ALB,AL,Degree Celsius,F1996,-0.038,,777.1,,99.00624283,2740,28.36131387
AL,41.153332,20.168331,Albania,ALB,AL,Degree Celsius,F1997,0.075,,775.15,,98.75780354,2740,28.29014599
AL,41.153332,20.168331,Albania,ALB,AL,Degree Celsius,F1998,0.795,,773.2,,98.50936425,2740,28.2189781
AL,41.153332,20.168331,Albania,ALB,AL,Degree Celsius,F1999,0.67,,771.25,,98.26092496,2740,28.14781022
AL,41.153332,20.168331,Albania,ALB,AL,Degree Celsius,F2000,1.065,,769.3,,98.01248567,2740,28.07664234
AL,41.153332,20.168331,Albania,ALB,AL,Degree Celsius,F2001,1.532,,770.577,,98.17518155,2740,28.12324818
AL,41.153332,20.168331,Albania,ALB,AL,Degree Celsius,F2002,0.492,,771.854,,98.33787744,2740,28.16985401
AL,41.153332,20.168331,Albania,ALB,AL,Degree Celsius,F2003,0.97,,773.131,,98.50057332,2740,28.21645985
AL,41.153332,20.168331,Albania,ALB,AL,Degree Celsius,F2004,0.444,,774.408,,98.66326921,2740,28.26306569
AL,41.153332,20.168331,Albania,ALB,AL,Degree Celsius,F2005,0.189,,775.685,,98.82596509,2740,28.30967153
AL,41.153332,20.168331,Albania,ALB,AL,Degree Celsius,F2006,0.345,,776.962,,98.98866098,2740,28.35627737
AL,41.153332,20.168331,Albania,ALB,AL,Degree Celsius,F2007,1.316,,778.239,,99.15135686,2740,28.40288321
AL,41.153332,20.168331,Albania,ALB,AL,Degree Celsius,F2008,0.978,,779.516,,99.31405275,2740,28.44948905
AL,41.153332,20.168331,Albania,ALB,AL,Degree Celsius,F2009,0.91,,780.793,,99.47674863,2740,28.49609489
AL,41.153332,20.168331,Albania,ALB,AL,Degree Celsius,F2010,1.191,,782.07,,99.63944452,2740,28.54270073
AL,41.153332,20.168331,Albania,ALB,AL,Degree Celsius,F2011,1.055,,783.4935,,99.8208052,2740,28.59465328
AL,41.153332,20.168331,Albania,ALB,AL,Degree Celsius,F2012,1.487,,784.917,,100.0021659,2740,28.64660584
AL,41.153332,20.168331,Albania,ALB,AL,Degree Celsius,F2013,1.333,,786.3405,,100.1835266,2740,28.69855839
AL,41.153332,20.168331,Albania,ALB,AL,Degree Celsius,F2014,1.198,,787.764,,100.3648872,2740,28.75051095
AL,41.153332,20.168331,Albania,ALB,AL,Degree Celsius,F2015,1.569,,789.1875,,100.5462479,2740,28.8024635
AL,41.153332,20.168331,Albania,ALB,AL,Degree Celsius,F2016,1.464,,789.18,,100.5452924,2740,28.80218978
AL,41.153332,20.168331,Albania,ALB,AL,Degree Celsius,F2017,1.121,,788.9025,,100.5099376,2740,28.79206204
AL,41.153332,20.168331,Albania,ALB,AL,Degree Celsius,F2018,2.028,,788.9,,100.5096191,2740,28.7919708
AL,41.153332,20.168331,Albania,ALB,AL,Degree Celsius,F2019,1.675,,788.9,,100.5096191,2740,28.7919708
AL,41.153332,20.168331,Albania,ALB,AL,Degree Celsius,F2020,1.498,,788.9,,100.5096191,2740,28.7919708
AO,-11.202692,17.873887,Angola,AGO,AO,Degree Celsius,F1992,0.466,1364.2896,78951.946,100,100,124670,63.32874469
AO,-11.202692,17.873887,Angola,AGO,AO,Degree Celsius,F1993,0.256,1361.604,78796.529,99.8031503,99.80314988,124670,63.20408198
AO,-11.202692,17.873887,Angola,AGO,AO,Degree Celsius,F1994,0.212,1358.9184,78641.112,99.6063006,99.60629976,124670,63.07941927
AO,-11.202692,17.873887,Angola,AGO,AO,Degree Celsius,F1995,0.753,1356.2328,78485.695,99.4094509,99.40944964,124670,62.95475656
AO,-11.202692,17.873887,Angola,AGO,AO,Degree Celsius,F1996,0.37,1353.5472,78330.278,99.2126012,99.21259952,124670,62.83009385
AO,-11.202692,17.873887,Angola,AGO,AO,Degree Celsius,F1997,0.107,1350.8616,78174.861,99.01575149,99.0157494,124670,62.70543114
AO,-11.202692,17.873887,Angola,AGO,AO,Degree Celsius,F1998,1.064,1348.176,78019.444,98.81890179,98.81889928,124670,62.58076843
AO,-11.202692,17.873887,Angola,AGO,AO,Degree Celsius,F1999,0.417,1345.4904,77864.027,98.62205209,98.62204916,124670,62.45610572
AO,-11.202692,17.873887,Angola,AGO,AO,Degree Celsius,F2000,0.169,1342.8048,77708.61,98.42520239,98.42519904,124670,62.33144301
AO,-11.202692,17.873887,Angola,AGO,AO,Degree Celsius,F2001,0.295,1333.2133,77153.549,97.72216251,97.72216254,124670,61.88621882
AO,-11.202692,17.873887,Angola,AGO,AO,Degree Celsius,F2002,0.735,1323.6219,76598.488,97.01912996,97.01912604,124670,61.44099463
AO,-11.202692,17.873887,Angola,AGO,AO,Degree Celsius,F2003,0.889,1314.0304,76043.427,96.31609007,96.31608954,124670,60.99577043
AO,-11.202692,17.873887,Angola,AGO,AO,Degree Celsius,F2004,0.414,1304.439,75488.366,95.61305752,95.61305303,124670,60.55054624
AO,-11.202692,17.873887,Angola,AGO,AO,Degree Celsius,F2005,1.021,1294.8475,74933.305,94.91001764,94.91001653,124670,60.10532205
AO,-11.202692,17.873887,Angola,AGO,AO,Degree Celsius,F2006,0.561,1285.2561,74378.244,94.20698509,94.20698003,124670,59.66009786
AO,-11.202692,17.873887,Angola,AGO,AO,Degree Celsius,F2007,0.885,1275.6646,73823.183,93.5039452,93.50394353,124670,59.21487367
AO,-11.202692,17.873887,Angola,AGO,AO,Degree Celsius,F2008,0.501,1266.0731,73268.122,92.80090532,92.80090702,124670,58.76964947
AO,-11.202692,17.873887,Angola,AGO,AO,Degree Celsius,F2009,0.708,1256.4817,72713.061,92.09787277,92.09787052,124670,58.32442528
AO,-11.202692,17.873887,Angola,AGO,AO,Degree Celsius,F2010,1.194,1246.8902,72158,91.39483289,91.39483402,124670,57.87920109
AO,-11.202692,17.873887,Angola,AGO,AO,Degree Celsius,F2011,0.88,1237.2988,71602.938,90.69180033,90.69179625,124670,57.4339761
AO,-11.202692,17.873887,Angola,AGO,AO,Degree Celsius,F2012,0.552,1227.7073,71047.876,89.98876045,89.98875848,124670,56.9887511
AO,-11.202692,17.873887,Angola,AGO,AO,Degree Celsius,F2013,1.044,1218.1158,70492.814,89.28572057,89.28572071,124670,56.54352611
AO,-11.202692,17.873887,Angola,AGO,AO,Degree Celsius,F2014,0.828,1208.5244,69937.752,88.58268802,88.58268294,124670,56.09830111
AO,-11.202692,17.873887,Angola,AGO,AO,Degree Celsius,F2015,1.331,1198.9329,69382.69,87.87964813,87.87964517,124670,55.65307612
AO,-11.202692,17.873887,Angola,AGO,AO,Degree Celsius,F2016,1.609,1189.3413,68827.62,87.17660092,87.17659727,124670,55.20784471
AO,-11.202692,17.873887,Angola,AGO,AO,Degree Celsius,F2017,0.87,1179.75,68272.57,86.4735757,86.4735747,124670,54.76262934
AO,-11.202692,17.873887,Angola,AGO,AO,Degree Celsius,F2018,1.395,1170.1586,67717.51,85.77054315,85.77053946,124670,54.31740595
AO,-11.202692,17.873887,Angola,AGO,AO,Degree Celsius,F2019,1.752,1160.567,67162.44,85.06749593,85.06749156,124670,53.87217454
AO,-11.202692,17.873887,Angola,AGO,AO,Degree Celsius,F2020,1.162,1150.9755,66607.38,84.36445605,84.36445632,124670,53.42695115
AR,-38.416097,-63.616672,Argentina,ARG,AR,Degree Celsius,F1992,-0.261,3641.7913,34838.8,100,100,273669,12.73026905
AR,-38.416097,-63.616672,Argentina,ARG,AR,Degree Celsius,F1993,0.086,3630.4948,34656.2,99.68980924,99.47587173,273669,12.66354611
AR,-38.416097,-63.616672,Argentina,ARG,AR,Degree Celsius,F1994,0.487,3619.1983,34473.6,99.37961849,98.95174346,273669,12.59682317
AR,-38.416097,-63.616672,Argentina,ARG,AR,Degree Celsius,F1995,0.259,3607.9018,34291,99.06942773,98.42761519,273669,12.53010023
AR,-38.416097,-63.616672,Argentina,ARG,AR,Degree Celsius,F1996,0.512,3596.6053,34108.4,98.75923697,97.90348692,273669,12.46337729
AR,-38.416097,-63.616672,Argentina,ARG,AR,Degree Celsius,F1997,0.759,3585.3087,33925.8,98.44904347,97.37935865,273669,12.39665435
AR,-38.416097,-63.616672,Argentina,ARG,AR,Degree Celsius,F1998,0.351,3574.0122,33743.2,98.13885271,96.85523038,273669,12.32993141
AR,-38.416097,-63.616672,Argentina,ARG,AR,Degree Celsius,F1999,0.16,3562.7157,33560.6,97.82866196,96.3311021,273669,12.26320847
AR,-38.416097,-63.616672,Argentina,ARG,AR,Degree Celsius,F2000,-0.186,3551.4192,33378,97.5184712,95.80697383,273669,12.19648554
AR,-38.416097,-63.616672,Argentina,ARG,AR,Degree Celsius,F2001,0.425,3526.3652,33061.6,96.83051305,94.898791,273669,12.08087142
AR,-38.416097,-63.616672,Argentina,ARG,AR,Degree Celsius,F2002,0.278,3501.3113,32745.2,96.14255765,93.99060817,273669,11.9652573
AR,-38.416097,-63.616672,Argentina,ARG,AR,Degree Celsius,F2003,0.635,3476.2573,32428.8,95.4545995,93.08242534,273669,11.84964318
AR,-38.416097,-63.616672,Argentina,ARG,AR,Degree Celsius,F2004,0.47,3451.2033,32112.4,94.76664135,92.17424251,273669,11.73402906
AR,-38.416097,-63.616672,Argentina,ARG,AR,Degree Celsius,F2005,0.281,3426.1494,31796,94.07868595,91.26605968,273669,11.61841495
AR,-38.416097,-63.616672,Argentina,ARG,AR,Degree Celsius,F2006,0.596,3401.0954,31479.6,93.3907278,90.35787685,273669,11.50280083
AR,-38.416097,-63.616672,Argentina,ARG,AR,Degree Celsius,F2007,-0.169,3376.0414,31163.2,92.70276965,89.44969402,273669,11.38718671
AR,-38.416097,-63.616672,Argentina,ARG,AR,Degree Celsius,F2008,0.601,3350.9874,30846.8,92.0148115,88.54151119,273669,11.27157259
AR,-38.416097,-63.616672,Argentina,ARG,AR,Degree Celsius,F2009,0.857,3325.9335,30530.4,91.3268561,87.63332836,273669,11.15595848
AR,-38.416097,-63.616672,Argentina,ARG,AR,Degree Celsius,F2010,0.135,3300.8795,30214,90.63889795,86.72514553,273669,11.04034436
AR,-38.416097,-63.616672,Argentina,ARG,AR,Degree Celsius,F2011,0.386,3283.8055,29990.6,90.17006274,86.08390645,273669,10.9587129
AR,-38.416097,-63.616672,Argentina,ARG,AR,Degree Celsius,F2012,0.798,3266.7315,29767.2,89.70122753,85.44266737,273669,10.87708144
AR,-38.416097,-63.616672,Argentina,ARG,AR,Degree Celsius,F2013,0.442,3249.6575,29543.8,89.23239231,84.80142829,273669,10.79544998
AR,-38.416097,-63.616672,Argentina,ARG,AR,Degree Celsius,F2014,0.951,3232.5835,29320.4,88.7635571,84.16018921,273669,10.71381852
AR,-38.416097,-63.616672,Argentina,ARG,AR,Degree Celsius,F2015,0.957,3215.5095,29097,88.29472189,83.51895014,273669,10.63218706
AR,-38.416097,-63.616672,Argentina,ARG,AR,Degree Celsius,F2016,0.488,3209.6664,29010,88.13427612,83.26922856,273669,10.60039683
AR,-38.416097,-63.616672,Argentina,ARG,AR,Degree Celsius,F2017,1.095,3201.7202,28899,87.9160813,82.95061828,273669,10.55983688
AR,-38.416097,-63.616672,Argentina,ARG,AR,Degree Celsius,F2018,0.878,3194.3614,28791,87.7140159,82.64061908,273669,10.52037315
AR,-38.416097,-63.616672,Argentina,ARG,AR,Degree Celsius,F2019,0.76,3186.7459,28681,87.50490178,82.32487916,273669,10.48017861
AR,-38.416097,-63.616672,Argentina,ARG,AR,Degree Celsius,F2020,1.123,3179.032,28573,87.29308569,82.01487996,273669,10.44071488
AS,-14.270972,-170.132217,American Samoa,ASM,AS,Degree Celsius,F1992,0.344,1.1817,18.002,100,100,20,90.01
AS,-14.270972,-170.132217,American Samoa,ASM,AS,Degree Celsius,F1993,-0.069,1.1956,17.968,101.1762715,99.8111321,20,89.84
AS,-14.270972,-170.132217,American Samoa,ASM,AS,Degree Celsius,F1994,0.189,1.2095,17.934,102.3525429,99.62226419,20,89.67
AS,-14.270972,-170.132217,American Samoa,ASM,AS,Degree Celsius,F1995,0.755,1.2234,17.9,103.5288144,99.43339629,20,89.5
AS,-14.270972,-170.132217,American Samoa,ASM,AS,Degree Celsius,F1996,0.784,1.2373,17.866,104.7050859,99.24452839,20,89.33
AS,-14.270972,-170.132217,American Samoa,ASM,AS,Degree Celsius,F1997,,1.2512,17.832,105.8813574,99.05566048,20,89.16
AS,-14.270972,-170.132217,American Samoa,ASM,AS,Degree Celsius,F1998,,1.2651,17.798,107.0576288,98.86679258,20,88.99
AS,-14.270972,-170.132217,American Samoa,ASM,AS,Degree Celsius,F1999,0.242,1.279,17.764,108.2339003,98.67792468,20,88.82
AS,-14.270972,-170.132217,American Samoa,ASM,AS,Degree Celsius,F2000,0.626,1.2929,17.73,109.4101718,98.48905677,20,88.65
AS,-14.270972,-170.132217,American Samoa,ASM,AS,Degree Celsius,F2001,0.904,1.3036,17.7,110.3156469,98.32240862,20,88.5
AS,-14.270972,-170.132217,American Samoa,ASM,AS,Degree Celsius,F2002,1.152,1.3144,17.67,111.2295845,98.15576047,20,88.35
AS,-14.270972,-170.132217,American Samoa,ASM,AS,Degree Celsius,F2003,0.716,1.3251,17.64,112.1350597,97.98911232,20,88.2
AS,-14.270972,-170.132217,American Samoa,ASM,AS,Degree Celsius,F2004,0.191,1.3359,17.61,113.0489972,97.82246417,20,88.05
AS,-14.270972,-170.132217,American Samoa,ASM,AS,Degree Celsius,F2005,0.801,1.3466,17.58,113.9544724,97.65581602,20,87.9
AS,-14.270972,-170.132217,American Samoa,ASM,AS,Degree Celsius,F2006,0.403,1.3573,17.55,114.8599475,97.48916787,20,87.75
AS,-14.270972,-170.132217,American Samoa,ASM,AS,Degree Celsius,F2007,1.032,1.3681,17.52,115.7738851,97.32251972,20,87.6
AS,-14.270972,-170.132217,American Samoa,ASM,AS,Degree Celsius,F2008,0.67,1.3788,17.49,116.6793602,97.15587157,20,87.45
AS,-14.270972,-170.132217,American Samoa,ASM,AS,Degree Celsius,F2009,,1.3896,17.46,117.5932978,96.98922342,20,87.3
AS,-14.270972,-170.132217,American Samoa,ASM,AS,Degree Celsius,F2010,1.311,1.4003,17.43,118.498773,96.82257527,20,87.15
AS,-14.270972,-170.132217,American Samoa,ASM,AS,Degree Celsius,F2011,0.854,1.4101,17.4,119.3280867,96.65592712,20,87
AS,-14.270972,-170.132217,American Samoa,ASM,AS,Degree Celsius,F2012,0.924,1.4199,17.37,120.1574004,96.48927897,20,86.85
